"_v","المديرية","السنة","النوع","العدد"
,"مطروح","2021","إناث","12"
,"البحر الأحمر","2021","ذكور","6"
,"البحر الأحمر","2021","إناث","3"
,"شمال سيناء","2021","إناث","21"
,"جنوب سيناء","2021","ذكور","23"
,"الغربية","2022","إناث","265"
,"كفر الشيخ","2022","إناث","463"
,"الدقهلية","2022","إناث","281"
,"الشرقية","2022","ذكور","677"
,"الشرقية","2022","إناث","516"
,"بورسعيد","2022","ذكور","29"
,"الإسماعيلية","2022","ذكور","176"
,"الجيزة","2022","إناث","107"
,"بنى سويف","2022","ذكور","328"
,"أسيوط","2022","ذكور","313"
,"سوهاج","2022","ذكور","257"
,"سوهاج","2022","إناث","126"
,"أسوان","2022","ذكور","157"
,"أسوان","2022","إناث","113"
,"البحر الأحمر","2022","إناث","3"
,"شمال سيناء","2022","إناث","23"
,"جنوب سيناء","2022","إناث","13"
,"القاهرة","2023","إناث","5"
,"الإسكندرية","2023","ذكور","89"
,"القليوبية","2023","إناث","170"
,"الشرقية","2023","ذكور","523"
,"بورسعيد","2023","إناث","14"
,"الفيوم","2023","إناث","100"
,"المنيا","2023","ذكور","467"
,"المنيا","2023","إناث","335"
,"أسيوط","2023","إناث","256"
,"قنا","2023","إناث","266"
,"الوادى الجديد","2023","ذكور","188"
,"الوادى الجديد","2023","إناث","72"
,"البحر الأحمر","2023","إناث","4"
,"شمال سيناء","2023","إناث","21"
,"جنوب سيناء","2023","إناث","13"
,"المنيا","2021","ذكور","649"
,"أسيوط","2021","إناث","294"
,"سوهاج","2021","ذكور","285"
,"الأقصر","2021","إناث","58"
,"أسوان","2021","إناث","113"
,"الوادى الجديد","2021","ذكور","213"
,"شمال سيناء","2021","ذكور","83"
,"اجمالى الجمهورية","2021","ذكور","6661"
,"القاهرة","2022","ذكور","3"
,"الإسكندرية","2022","ذكور","91"
,"الإسكندرية","2022","إناث","81"
,"البحيرة","2022","ذكور","493"
,"البحيرة","2022","إناث","300"
,"الغربية","2022","ذكور","221"
,"المنوفية","2022","إناث","150"
,"القليوبية","2022","ذكور","232"
,"القليوبية","2022","إناث","187"
,"الدقهلية","2022","ذكور","446"
,"دمياط","2022","ذكور","83"
,"السويس","2022","ذكور","18"
,"الجيزة","2022","ذكور","141"
,"الفيوم","2022","إناث","107"
,"بنى سويف","2022","إناث","201"
,"أسيوط","2022","إناث","279"
,"الوادى الجديد","2022","إناث","67"
,"شمال سيناء","2022","ذكور","75"
,"اجمالى الجمهورية","2022","ذكور","6100"
,"القاهرة","2023","ذكور","4"
,"الإسكندرية","2023","إناث","61"
,"البحيرة","2023","إناث","266"
,"دمياط","2023","ذكور","71"
,"السويس","2023","إناث","13"
,"بنى سويف","2023","ذكور","272"
,"أسيوط","2023","ذكور","275"
,"الأقصر","2023","ذكور","141"
,"أسوان","2023","ذكور","141"
,"الأقصر","2021","ذكور","163"
,"الوادى الجديد","2021","إناث","71"
,"جنوب سيناء","2021","إناث","10"
,"بورسعيد","2022","إناث","11"
,"السويس","2022","إناث","14"
,"الفيوم","2022","ذكور","231"
,"قنا","2022","إناث","279"
,"الأقصر","2022","ذكور","155"
,"الأقصر","2022","إناث","58"
,"مطروح","2022","ذكور","42"
,"مطروح","2022","إناث","14"
,"الوادى الجديد","2022","ذكور","208"
,"البحر الأحمر","2022","ذكور","6"
,"اجمالى الجمهورية","2022","إناث","4291"
,"المنوفية","2023","ذكور","105"
,"المنوفية","2023","إناث","125"
,"القليوبية","2023","ذكور","202"
,"الشرقية","2023","إناث","435"
,"الإسماعيلية","2023","إناث","184"
,"السويس","2023","ذكور","13"
,"الجيزة","2023","ذكور","125"
,"الجيزة","2023","إناث","93"
,"قنا","2023","ذكور","475"
,"أسوان","2023","إناث","113"
,"مطروح","2023","إناث","15"
,"شمال سيناء","2023","ذكور","74"
,"اجمالى الجمهورية","2023","إناث","3870"
